canonical_role,alias
outcome,outcome
outcome,response
outcome,status
outcome,event
outcome,endpoint
outcome,primary_endpoint
outcome,y
outcome,label
outcome,class
outcome,diagnosis
outcome,disease
outcome,case_control
outcome,mortality
outcome,death
outcome,icu_mortality
outcome,hospital_mortality
outcome,os_status
outcome,pfs_status
outcome,dfs_status
event,event
event,status
event,death
event,mortality
event,progression
event,recurrence
event,relapse
event,os_event
event,pfs_event
event,dfs_event
event,censor_status
time,time
time,ftime
time,followup
time,follow_up
time,follow_up_days
time,survival_time
time,time_to_event
time,os_time
time,pfs_time
time,dfs_time
time,days_to_event
time,months_to_event
exposure,exposure
exposure,exposed
exposure,treatment
exposure,trt
exposure,intervention
exposure,drug
exposure,therapy
exposure,arm
exposure,group
treatment,treatment
treatment,trt
treatment,arm
treatment,therapy
treatment,intervention
treatment,medication
group,group
group,condition
group,phenotype
group,cohort
group,subtype
group,class
group,batch_group
case_control,case_control
case_control,case
case_control,control
case_control,diagnosis
case_control,disease_status
predictor,predictor
predictor,marker
predictor,feature
predictor,risk_score
predictor,score
covariate,covariate
covariate,adjustment
covariate,confounder
id,id
id,subject_id
id,patient_id
id,person_id
id,record_id
sample_id,sample
sample_id,sample_id
sample_id,sampleid
sample_id,run_id
sample_id,library_id
sample_id,gsm
sample_id,geo_accession
sample_id,barcode
sample_id,specimen_id
gene_id,gene
gene_id,gene_id
gene_id,geneid
gene_id,gene_symbol
gene_id,symbol
gene_id,ensembl
gene_id,ensembl_id
gene_id,entrez
gene_id,entrez_id
count,counts
count,count
count,raw_count
count,read_count
count,feature_count
expression,expr
expression,expression
expression,log_expr
expression,normalized_expr
count_matrix,count_matrix
count_matrix,counts_matrix
count_matrix,raw_counts
count_matrix,expr_matrix
col_data,col_data
col_data,metadata
col_data,sample_metadata
col_data,pheno
snp,snp
snp,rsid
snp,variant
snp,variant_id
beta,beta
beta,b
beta,effect
beta,beta_exposure
beta,beta_outcome
se,se
se,std_error
se,standard_error
eaf,eaf
eaf,effect_allele_frequency
effect_allele,effect_allele
effect_allele,ea
effect_allele,a1
other_allele,other_allele
other_allele,oa
other_allele,a2
pval,p
pval,pval
pval,p_value
pval,pvalue
pval,p.value
padj,padj
padj,adj_p
padj,adj_p_val
padj,adjusted_p
padj,fdr
n,n
n,samplesize
n,sample_size
chr,chr
chr,chrom
chr,chromosome
pos,pos
pos,bp
pos,position
logfc,logfc
logfc,log2fc
logfc,fold_change
auc,auc
auc,c_statistic
risk_score,risk_score
risk_score,score
risk_score,linear_predictor
