task_key,function_name,module,task_type,input_mode,required_cols,output_type,runtime_class,side_effect,keywords,template_id,priority,reference_package,reference_file,notes
propensity_score_matching,Epi_PSM_match,Epi,propensity_score_matching,data.frame+columns,treatment;covariates,matched_data_or_model,in_memory_wrapper,message_on_binary_recode,psm;propensity;matchit;treated;control;covariates,psm_basic,1,EpiBioToolkit,R/Epi_PSM_match.R,Core wrapper around MatchIt for nearest-neighbor style matching.
propensity_score_matching,Epi_PSM_baseline_tables,Epi,propensity_score_matching,data.frame+matched_data_or_model,treatment;covariates,before_after_table_bundle,reporting_table,none,psm;baseline;balance;table1;gtsummary,psm_basic,2,EpiBioToolkit,R/Epi_PSM_baseline_tables.R,Useful for summarizing baseline balance before and after matching.
propensity_score_matching,plot_love,plot,propensity_score_matching,smd_summary_table,covariate;abs_smd_before;abs_smd_after,ggplot_with_balance_data,visualization,none,love_plot;smd;balance;matching;covariate_balance,psm_basic,3,EpiBioToolkit,R/plot_love.R,Post-matching visualization for absolute standardized mean differences.
logistic_regression,Epi_logistic_multiv,Epi,logistic_regression,data.frame+columns,outcome;predictors,results_and_model,in_memory_model,message_on_binary_recode,logistic;multivariable;glm;odds_ratio;clinical,logistic_basic,1,EpiBioToolkit,R/Epi_logistic_multiv.R,Primary multivariable logistic regression wrapper.
logistic_regression,Epi_logistic_univ,Epi,logistic_regression,data.frame+columns,outcome;predictors,results_and_models,screening_model,message_on_binary_recode,logistic;univariable;screening;glm;odds_ratio,logistic_basic,2,EpiBioToolkit,R/Epi_logistic_univ.R,Convenient for univariable screening before multivariable modeling.
logistic_regression,Epi_logistic_vif,Epi,logistic_regression,data.frame+columns,outcome;predictors,vif_diagnostic_bundle,collinearity_diagnostic,none,logistic;vif;collinearity;predictor_screening,logistic_basic,3,EpiBioToolkit,R/Epi_logistic_vif.R,Checks multicollinearity among predictors before fitting the final model.
logistic_regression,Epi_hoslem_test,Epi,logistic_regression,numeric_vectors,observed;predicted_probability,hoslem_test_bundle,goodness_of_fit_test,none,logistic;hosmer_lemeshow;calibration;model_check,logistic_basic,4,EpiBioToolkit,R/Epi_hoslem_test.R,Simple goodness-of-fit assessment for predicted probabilities.
logistic_regression,plot_logistic_forest,plot,logistic_regression,results_table,variable;level;or;or_95ci,ggplot,visualization,none,logistic;forest_plot;odds_ratio;visualization,logistic_basic,5,EpiBioToolkit,R/plot_logistic_forest.R,Visualizes OR and confidence intervals from logistic results.
cox_regression,Epi_cox_multiv,Epi,cox_regression,data.frame+columns,time;event;predictors,results_model_concordance,in_memory_model,message_on_status_recode,cox;survival;hazard_ratio;time_to_event,cox_basic,1,EpiBioToolkit,R/Epi_cox_multiv.R,Primary multivariable Cox regression wrapper for time-to-event data.
cox_regression,Epi_cox_ph_test,Epi,cox_regression,cox_model,cox_model,ph_test_bundle,post_model_test,none,cox;proportional_hazards;ph_test;cox_zph,cox_basic,2,EpiBioToolkit,R/Epi_cox_ph_test.R,Tests the proportional hazards assumption after fitting a Cox model.
cox_regression,Epi_timeROC,Epi,cox_regression,data.frame+columns,time;event;marker;times,timeROC_auc_table,time_dependent_diagnostic,message_on_status_recode,cox;timeROC;survival_auc;marker_evaluation,cox_basic,3,EpiBioToolkit,R/Epi_timeROC.R,Evaluates time-dependent ROC AUC for survival markers or risk scores.
bulk_rna_differential_expression,Bio_Bulk_align_group,Bio_Bulk,bulk_rna_differential_expression,expr+metadata,sample_id;group,aligned_expr_group_idmap,preprocessing,warning_on_unmatched_samples,bulk_rna;sample_alignment;metadata;group_mapping,bulk_deg,1,EpiBioToolkit,R/Bio_Bulk_align_group.R,Aligns sample IDs and group metadata before downstream differential analysis.
bulk_rna_differential_expression,Bio_Bulk_filter_low_expression,Bio_Bulk,bulk_rna_differential_expression,count_matrix,gene_id;expression_values,filtered_expression_table,preprocessing,message,bulk_rna;filtering;low_expression;gene_filter,bulk_deg,2,EpiBioToolkit,R/Bio_Bulk_filter_low_expression.R,Filters low-expression genes before DEG analysis.
bulk_rna_differential_expression,Bio_Bulk_limma_analysis,Bio_Bulk,bulk_rna_differential_expression,counts+metadata,sample_id;group;counts,deg_results_bundle,in_memory_analysis,message_and_console_table,bulk_rna;limma;deg;differential_expression;case_control,bulk_deg,3,EpiBioToolkit,R/Bio_Bulk_limma_analysis.R,Reference DEG function in the source package; MedNova template stays minimal and generic.
mendelian_randomization,Bio_MR_format_exposure,Bio_MR,mendelian_randomization,raw_gwas_table,snp;beta;se;eaf;effect_allele;other_allele;pval;n;chr;pos,formatted_exposure_table,formatting,none,mr;exposure;format;twosamplemr;gwas,mr_basic,1,EpiBioToolkit,R/Bio_MR_exposure.R,Formats raw exposure summary statistics into TwoSampleMR-compatible structure.
mendelian_randomization,Bio_MR_process_exposure,Bio_MR,mendelian_randomization,raw_gwas_table,snp;beta;se;eaf;effect_allele;other_allele;pval;n;chr;pos,processed_exposure_table,pipeline_step,none,mr;exposure;clumping;f_statistic;instrument_selection,mr_basic,2,EpiBioToolkit,R/Bio_MR_process_exposure.R,High-value reference step that chains formatting; strength filtering; and clumping.
mendelian_randomization,Bio_MR_prepare_outcome,Bio_MR,mendelian_randomization,raw_gwas_table,snp;beta;se;eaf;effect_allele;other_allele;pval;n;chr;pos,formatted_outcome_table,formatting,none,mr;outcome;format;twosamplemr;gwas,mr_basic,3,EpiBioToolkit,R/Bio_MR_outcome.R,Formats outcome summary statistics into TwoSampleMR-compatible structure.
mendelian_randomization,Bio_MR_harmonize_one,Bio_MR,mendelian_randomization,formatted_exposure+formatted_outcome,snp;effect_allele;other_allele,harmonized_table,harmonization,none,mr;harmonization;allele_alignment;twosamplemr,mr_basic,4,EpiBioToolkit,R/Bio_MR_harmonize.R,Performs allele harmonization for one exposure-outcome pair.
mendelian_randomization,Bio_MR_run_methods,Bio_MR,mendelian_randomization,harmonized_table,harmonized_snps,mr_results_table,in_memory_analysis,none,mr;ivw;egger;weighted_median;wald_ratio,mr_basic,5,EpiBioToolkit,R/Bio_MR_analysis.R,Executes core MR estimators on harmonized data.
mendelian_randomization,Bio_MR_run_single,Bio_MR,mendelian_randomization,harmonized_table,harmonized_snps,mr_summary_bundle,analysis_bundle,none,mr;sensitivity;heterogeneity;pleiotropy;steiger,mr_basic,6,EpiBioToolkit,R/Bio_MR_run_single.R,Convenient single-dataset MR summary with sensitivity analyses.
mendelian_randomization,Bio_MR_pipeline,Bio_MR,mendelian_randomization,exposure_list+outcome,exposure_tables;outcome_table;gwas_columns,mr_pipeline_bundle,high_level_pipeline,creates_output_directory_and_runs_batch,mr;pipeline;batch;harmonization;out_dir,mr_basic,7,EpiBioToolkit,R/Bio_MR_pipeline.R,High-level end-to-end wrapper; note that the reference function writes outputs through batch execution.
diagnostic_modeling,Bio_build_diagnostic_model,Bio_Diagnostic,diagnostic_modeling,expr+group_table,sample_id;group;target_genes,model_dca_plot_bundle,high_level_modeling,writes_pdf_and_message,diagnostic;multigene;nomogram;dca;logistic,diagnostic_basic,1,EpiBioToolkit,R/Bio_build_diagnostic_model.R,High-level diagnostic wrapper with file-writing side effects in the reference package.
